2026-06-22T12:02:26.653086Z  INFO Storing genesis block hash=0xd4e5…8fa3
2026-06-22T12:02:26.658141Z  INFO Auto-tune: available RAM 32 GB, headroom 9 GB, usable 23 GB, preimage estimate 116 GB -> mmap mode, flush every 1000000
2026-06-22T12:02:26.658181Z  INFO Reading preimage file: /home/0xalizk/sharded-pir/binary-node/xatu-preimages/preimages.rlp (mode: mmap)
2026-06-22T12:02:26.658200Z  INFO Preimage file size: 108493 MB
2026-06-22T12:02:26.697008Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T12:02:31.843186Z  INFO 0% | 7900000 preimage entries parsed...
2026-06-22T12:02:36.882022Z  INFO 0% | 15700000 preimage entries parsed...
2026-06-22T12:02:41.887915Z  INFO 1% | 23300000 preimage entries parsed...
2026-06-22T12:02:46.903239Z  INFO 1% | 31200000 preimage entries parsed...
2026-06-22T12:02:51.919191Z  INFO 2% | 39000000 preimage entries parsed...
2026-06-22T12:02:56.981445Z  INFO 2% | 46800000 preimage entries parsed...
2026-06-22T12:03:02.006061Z  INFO 3% | 54700000 preimage entries parsed...
2026-06-22T12:03:07.123269Z  INFO 3% | 61300000 preimage entries parsed...
2026-06-22T12:03:12.184799Z  INFO 3% | 68100000 preimage entries parsed...
2026-06-22T12:03:17.270161Z  INFO 4% | 74700000 preimage entries parsed...
2026-06-22T12:03:22.327779Z  INFO 4% | 79400000 preimage entries parsed...
2026-06-22T12:03:27.385376Z  INFO 4% | 85400000 preimage entries parsed...
2026-06-22T12:03:32.397125Z  INFO 5% | 91800000 preimage entries parsed...
2026-06-22T12:03:37.430664Z  INFO 5% | 98300000 preimage entries parsed...
2026-06-22T12:03:42.449379Z  INFO 5% | 104900000 preimage entries parsed...
2026-06-22T12:03:47.709808Z  INFO 6% | 110500000 preimage entries parsed...
2026-06-22T12:03:52.732947Z  INFO 6% | 117200000 preimage entries parsed...
2026-06-22T12:03:57.783244Z  INFO 6% | 123200000 preimage entries parsed...
2026-06-22T12:04:02.856097Z  INFO 7% | 129800000 preimage entries parsed...
2026-06-22T12:04:07.914483Z  INFO 7% | 136400000 preimage entries parsed...
2026-06-22T12:04:12.997710Z  INFO 8% | 142500000 preimage entries parsed...
2026-06-22T12:04:18.046194Z  INFO 8% | 148900000 preimage entries parsed...
2026-06-22T12:04:23.081153Z  INFO 8% | 155300000 preimage entries parsed...
2026-06-22T12:04:28.094390Z  INFO 9% | 163200000 preimage entries parsed...
2026-06-22T12:04:33.109599Z  INFO 9% | 171000000 preimage entries parsed...
2026-06-22T12:04:38.111627Z  INFO 10% | 178100000 preimage entries parsed...
2026-06-22T12:04:43.143204Z  INFO 10% | 185300000 preimage entries parsed...
2026-06-22T12:04:48.220234Z  INFO 10% | 192200000 preimage entries parsed...
2026-06-22T12:04:53.336419Z  INFO 11% | 198800000 preimage entries parsed...
2026-06-22T12:04:58.372919Z  INFO 11% | 205500000 preimage entries parsed...
2026-06-22T12:05:03.406060Z  INFO 12% | 212800000 preimage entries parsed...
2026-06-22T12:05:08.435009Z  INFO 12% | 220700000 preimage entries parsed...
2026-06-22T12:05:13.587511Z  INFO 12% | 228400000 preimage entries parsed...
2026-06-22T12:05:18.628424Z  INFO 13% | 235400000 preimage entries parsed...
2026-06-22T12:05:23.708544Z  INFO 13% | 243300000 preimage entries parsed...
2026-06-22T12:05:28.718689Z  INFO 14% | 251100000 preimage entries parsed...
2026-06-22T12:05:33.730641Z  INFO 14% | 257500000 preimage entries parsed...
2026-06-22T12:05:38.799767Z  INFO 14% | 264100000 preimage entries parsed...
2026-06-22T12:05:43.906448Z  INFO 15% | 270500000 preimage entries parsed...
2026-06-22T12:05:48.959716Z  INFO 15% | 277000000 preimage entries parsed...
2026-06-22T12:05:54.021686Z  INFO 16% | 284200000 preimage entries parsed...
2026-06-22T12:05:59.047804Z  INFO 16% | 290200000 preimage entries parsed...
2026-06-22T12:06:04.082762Z  INFO 16% | 297000000 preimage entries parsed...
2026-06-22T12:06:09.150849Z  INFO 17% | 303700000 preimage entries parsed...
2026-06-22T12:06:14.211843Z  INFO 17% | 310500000 preimage entries parsed...
2026-06-22T12:06:19.219705Z  INFO 17% | 317700000 preimage entries parsed...
2026-06-22T12:06:24.290151Z  INFO 18% | 324500000 preimage entries parsed...
2026-06-22T12:06:29.392121Z  INFO 18% | 330700000 preimage entries parsed...
2026-06-22T12:06:34.506354Z  INFO 19% | 337000000 preimage entries parsed...
2026-06-22T12:06:39.585320Z  INFO 19% | 344200000 preimage entries parsed...
2026-06-22T12:06:44.598771Z  INFO 19% | 349800000 preimage entries parsed...
2026-06-22T12:06:49.628690Z  INFO 20% | 355600000 preimage entries parsed...
2026-06-22T12:06:54.635934Z  INFO 20% | 362200000 preimage entries parsed...
2026-06-22T12:06:59.677147Z  INFO 20% | 368400000 preimage entries parsed...
2026-06-22T12:07:04.729870Z  INFO 21% | 375200000 preimage entries parsed...
2026-06-22T12:07:09.814102Z  INFO 21% | 382200000 preimage entries parsed...
2026-06-22T12:07:14.854851Z  INFO 22% | 390100000 preimage entries parsed...
2026-06-22T12:07:19.863023Z  INFO 22% | 397600000 preimage entries parsed...
2026-06-22T12:07:24.958840Z  INFO 22% | 403800000 preimage entries parsed...
2026-06-22T12:07:30.029545Z  INFO 23% | 411800000 preimage entries parsed...
2026-06-22T12:07:35.051692Z  INFO 23% | 419600000 preimage entries parsed...
2026-06-22T12:07:40.117041Z  INFO 24% | 426500000 preimage entries parsed...
2026-06-22T12:07:45.156778Z  INFO 24% | 432400000 preimage entries parsed...
2026-06-22T12:07:50.251171Z  INFO 24% | 439100000 preimage entries parsed...
2026-06-22T12:07:55.259918Z  INFO 25% | 445100000 preimage entries parsed...
2026-06-22T12:08:00.302600Z  INFO 25% | 451200000 preimage entries parsed...
2026-06-22T12:08:05.318608Z  INFO 25% | 457800000 preimage entries parsed...
2026-06-22T12:08:10.363307Z  INFO 26% | 463500000 preimage entries parsed...
2026-06-22T12:08:15.403974Z  INFO 26% | 470100000 preimage entries parsed...
2026-06-22T12:08:20.450483Z  INFO 26% | 476500000 preimage entries parsed...
2026-06-22T12:08:25.476403Z  INFO 27% | 482900000 preimage entries parsed...
2026-06-22T12:08:30.504710Z  INFO 27% | 489800000 preimage entries parsed...
2026-06-22T12:08:35.519999Z  INFO 28% | 497000000 preimage entries parsed...
2026-06-22T12:08:40.532084Z  INFO 28% | 503800000 preimage entries parsed...
2026-06-22T12:08:45.541734Z  INFO 28% | 510300000 preimage entries parsed...
2026-06-22T12:08:50.580247Z  INFO 29% | 517200000 preimage entries parsed...
2026-06-22T12:08:55.630765Z  INFO 29% | 523900000 preimage entries parsed...
2026-06-22T12:09:00.716627Z  INFO 29% | 530600000 preimage entries parsed...
2026-06-22T12:09:05.776281Z  INFO 30% | 537400000 preimage entries parsed...
2026-06-22T12:09:10.778798Z  INFO 30% | 544900000 preimage entries parsed...
2026-06-22T12:09:15.789320Z  INFO 31% | 552700000 preimage entries parsed...
2026-06-22T12:09:20.874180Z  INFO 31% | 560600000 preimage entries parsed...
2026-06-22T12:09:25.896969Z  INFO 32% | 568500000 preimage entries parsed...
2026-06-22T12:09:30.964311Z  INFO 32% | 574400000 preimage entries parsed...
2026-06-22T12:09:36.022925Z  INFO 32% | 582200000 preimage entries parsed...
2026-06-22T12:09:41.153367Z  INFO 33% | 589300000 preimage entries parsed...
2026-06-22T12:09:46.175582Z  INFO 33% | 595400000 preimage entries parsed...
2026-06-22T12:09:51.197458Z  INFO 33% | 601800000 preimage entries parsed...
2026-06-22T12:09:56.246441Z  INFO 34% | 608200000 preimage entries parsed...
2026-06-22T12:10:01.281559Z  INFO 34% | 614700000 preimage entries parsed...
2026-06-22T12:10:06.312481Z  INFO 35% | 621700000 preimage entries parsed...
2026-06-22T12:10:11.421422Z  INFO 35% | 628200000 preimage entries parsed...
2026-06-22T12:10:16.505821Z  INFO 35% | 634600000 preimage entries parsed...
2026-06-22T12:10:21.564146Z  INFO 36% | 640500000 preimage entries parsed...
2026-06-22T12:10:26.567042Z  INFO 36% | 647100000 preimage entries parsed...
2026-06-22T12:10:31.674797Z  INFO 36% | 653000000 preimage entries parsed...
2026-06-22T12:10:36.715688Z  INFO 37% | 660000000 preimage entries parsed...
2026-06-22T12:10:41.733791Z  INFO 37% | 666400000 preimage entries parsed...
2026-06-22T12:10:46.844951Z  INFO 37% | 672800000 preimage entries parsed...
2026-06-22T12:10:51.968287Z  INFO 38% | 680000000 preimage entries parsed...
2026-06-22T12:10:57.104917Z  INFO 38% | 686800000 preimage entries parsed...
2026-06-22T12:11:02.121902Z  INFO 39% | 693800000 preimage entries parsed...
2026-06-22T12:11:07.190237Z  INFO 39% | 700200000 preimage entries parsed...
2026-06-22T12:11:12.271956Z  INFO 39% | 705800000 preimage entries parsed...
2026-06-22T12:11:17.300888Z  INFO 40% | 713700000 preimage entries parsed...
2026-06-22T12:11:22.313470Z  INFO 40% | 721600000 preimage entries parsed...
2026-06-22T12:11:27.324813Z  INFO 41% | 729000000 preimage entries parsed...
2026-06-22T12:11:32.353468Z  INFO 41% | 735000000 preimage entries parsed...
2026-06-22T12:11:37.368838Z  INFO 41% | 742800000 preimage entries parsed...
2026-06-22T12:11:42.518039Z  INFO 42% | 750300000 preimage entries parsed...
2026-06-22T12:11:47.602389Z  INFO 42% | 756200000 preimage entries parsed...
2026-06-22T12:11:52.680194Z  INFO 43% | 763100000 preimage entries parsed...
2026-06-22T12:11:57.768664Z  INFO 43% | 769100000 preimage entries parsed...
2026-06-22T12:12:02.769760Z  INFO 43% | 774400000 preimage entries parsed...
2026-06-22T12:12:07.770590Z  INFO 44% | 780100000 preimage entries parsed...
2026-06-22T12:12:12.782488Z  INFO 44% | 786100000 preimage entries parsed...
2026-06-22T12:12:17.819090Z  INFO 44% | 792800000 preimage entries parsed...
2026-06-22T12:12:22.913572Z  INFO 45% | 799000000 preimage entries parsed...
2026-06-22T12:12:27.920073Z  INFO 45% | 805300000 preimage entries parsed...
2026-06-22T12:12:33.073445Z  INFO 45% | 812200000 preimage entries parsed...
2026-06-22T12:12:38.112289Z  INFO 46% | 818900000 preimage entries parsed...
2026-06-22T12:12:43.180170Z  INFO 46% | 825800000 preimage entries parsed...
2026-06-22T12:12:48.223591Z  INFO 46% | 832100000 preimage entries parsed...
2026-06-22T12:12:53.294949Z  INFO 47% | 839800000 preimage entries parsed...
2026-06-22T12:12:58.323724Z  INFO 47% | 847700000 preimage entries parsed...
2026-06-22T12:13:03.376439Z  INFO 48% | 855500000 preimage entries parsed...
2026-06-22T12:13:08.388377Z  INFO 48% | 863300000 preimage entries parsed...
2026-06-22T12:13:13.547785Z  INFO 49% | 870000000 preimage entries parsed...
2026-06-22T12:13:18.666189Z  INFO 49% | 877100000 preimage entries parsed...
2026-06-22T12:13:23.775152Z  INFO 49% | 883100000 preimage entries parsed...
2026-06-22T12:13:28.844178Z  INFO 50% | 890100000 preimage entries parsed...
2026-06-22T12:13:33.866188Z  INFO 50% | 895900000 preimage entries parsed...
2026-06-22T12:13:38.867836Z  INFO 50% | 902400000 preimage entries parsed...
2026-06-22T12:13:43.965166Z  INFO 51% | 908800000 preimage entries parsed...
2026-06-22T12:13:48.997415Z  INFO 51% | 915000000 preimage entries parsed...
2026-06-22T12:13:54.084528Z  INFO 52% | 922300000 preimage entries parsed...
2026-06-22T12:13:59.098183Z  INFO 52% | 927700000 preimage entries parsed...
2026-06-22T12:14:04.286499Z  INFO 52% | 934700000 preimage entries parsed...
2026-06-22T12:14:09.307283Z  INFO 53% | 940800000 preimage entries parsed...
2026-06-22T12:14:14.358273Z  INFO 53% | 948000000 preimage entries parsed...
2026-06-22T12:14:19.390489Z  INFO 53% | 954300000 preimage entries parsed...
2026-06-22T12:14:24.491504Z  INFO 54% | 960800000 preimage entries parsed...
2026-06-22T12:14:29.503625Z  INFO 54% | 967800000 preimage entries parsed...
2026-06-22T12:14:34.557750Z  INFO 54% | 974300000 preimage entries parsed...
2026-06-22T12:14:39.578694Z  INFO 55% | 981200000 preimage entries parsed...
2026-06-22T12:14:44.607912Z  INFO 55% | 987100000 preimage entries parsed...
2026-06-22T12:14:49.614893Z  INFO 56% | 993800000 preimage entries parsed...
2026-06-22T12:14:54.618320Z  INFO 56% | 1001300000 preimage entries parsed...
2026-06-22T12:14:59.689820Z  INFO 56% | 1009100000 preimage entries parsed...
2026-06-22T12:15:04.778195Z  INFO 57% | 1017000000 preimage entries parsed...
2026-06-22T12:15:09.784500Z  INFO 57% | 1024900000 preimage entries parsed...
2026-06-22T12:15:14.785161Z  INFO 58% | 1032600000 preimage entries parsed...
2026-06-22T12:15:19.861127Z  INFO 58% | 1039100000 preimage entries parsed...
2026-06-22T12:15:24.877826Z  INFO 58% | 1045100000 preimage entries parsed...
2026-06-22T12:15:29.909120Z  INFO 59% | 1052600000 preimage entries parsed...
2026-06-22T12:15:34.923751Z  INFO 59% | 1058600000 preimage entries parsed...
2026-06-22T12:15:39.933339Z  INFO 60% | 1065700000 preimage entries parsed...
2026-06-22T12:15:45.161557Z  INFO 60% | 1072500000 preimage entries parsed...
2026-06-22T12:15:50.245587Z  INFO 60% | 1079100000 preimage entries parsed...
2026-06-22T12:15:55.346404Z  INFO 61% | 1085500000 preimage entries parsed...
2026-06-22T12:16:00.363364Z  INFO 61% | 1092300000 preimage entries parsed...
2026-06-22T12:16:05.402433Z  INFO 62% | 1099400000 preimage entries parsed...
2026-06-22T12:16:10.489979Z  INFO 62% | 1105900000 preimage entries parsed...
2026-06-22T12:16:15.565381Z  INFO 62% | 1112500000 preimage entries parsed...
2026-06-22T12:16:20.659229Z  INFO 63% | 1119100000 preimage entries parsed...
2026-06-22T12:16:25.700047Z  INFO 63% | 1125900000 preimage entries parsed...
2026-06-22T12:16:30.810702Z  INFO 63% | 1133100000 preimage entries parsed...
2026-06-22T12:16:35.815140Z  INFO 64% | 1139500000 preimage entries parsed...
2026-06-22T12:16:40.937677Z  INFO 64% | 1147000000 preimage entries parsed...
2026-06-22T12:16:46.079045Z  INFO 65% | 1153200000 preimage entries parsed...
2026-06-22T12:16:51.141515Z  INFO 65% | 1160200000 preimage entries parsed...
2026-06-22T12:16:56.144806Z  INFO 65% | 1166400000 preimage entries parsed...
2026-06-22T12:17:01.199504Z  INFO 66% | 1174300000 preimage entries parsed...
2026-06-22T12:17:06.278655Z  INFO 66% | 1182100000 preimage entries parsed...
2026-06-22T12:17:11.300088Z  INFO 67% | 1190000000 preimage entries parsed...
2026-06-22T12:17:16.386994Z  INFO 67% | 1197900000 preimage entries parsed...
2026-06-22T12:17:21.574409Z  INFO 67% | 1204600000 preimage entries parsed...
2026-06-22T12:17:26.597901Z  INFO 68% | 1211000000 preimage entries parsed...
2026-06-22T12:17:31.635784Z  INFO 68% | 1217100000 preimage entries parsed...
2026-06-22T12:17:36.693471Z  INFO 69% | 1223900000 preimage entries parsed...
2026-06-22T12:17:41.721967Z  INFO 69% | 1230900000 preimage entries parsed...
2026-06-22T12:17:46.783984Z  INFO 69% | 1237700000 preimage entries parsed...
2026-06-22T12:17:51.862767Z  INFO 70% | 1244200000 preimage entries parsed...
2026-06-22T12:17:56.921663Z  INFO 70% | 1250500000 preimage entries parsed...
2026-06-22T12:18:01.925941Z  INFO 70% | 1257300000 preimage entries parsed...
2026-06-22T12:18:07.027220Z  INFO 71% | 1264600000 preimage entries parsed...
2026-06-22T12:18:12.029927Z  INFO 71% | 1271400000 preimage entries parsed...
2026-06-22T12:18:17.087375Z  INFO 72% | 1277900000 preimage entries parsed...
2026-06-22T12:18:22.160103Z  INFO 72% | 1284700000 preimage entries parsed...
2026-06-22T12:18:27.172047Z  INFO 72% | 1292000000 preimage entries parsed...
2026-06-22T12:18:32.220428Z  INFO 73% | 1298300000 preimage entries parsed...
2026-06-22T12:18:37.286393Z  INFO 73% | 1305400000 preimage entries parsed...
2026-06-22T12:18:42.389563Z  INFO 74% | 1312600000 preimage entries parsed...
2026-06-22T12:18:47.408517Z  INFO 74% | 1319900000 preimage entries parsed...
2026-06-22T12:18:52.455734Z  INFO 74% | 1326900000 preimage entries parsed...
2026-06-22T12:18:57.486156Z  INFO 75% | 1333200000 preimage entries parsed...
2026-06-22T12:19:02.508720Z  INFO 75% | 1340000000 preimage entries parsed...
2026-06-22T12:19:07.592931Z  INFO 75% | 1347100000 preimage entries parsed...
2026-06-22T12:19:12.597442Z  INFO 76% | 1354900000 preimage entries parsed...
2026-06-22T12:19:17.616791Z  INFO 76% | 1362700000 preimage entries parsed...
2026-06-22T12:19:22.678133Z  INFO 77% | 1370600000 preimage entries parsed...
2026-06-22T12:19:27.689087Z  INFO 77% | 1378400000 preimage entries parsed...
2026-06-22T12:19:32.772681Z  INFO 78% | 1385100000 preimage entries parsed...
2026-06-22T12:19:37.793847Z  INFO 78% | 1392000000 preimage entries parsed...
2026-06-22T12:19:42.831362Z  INFO 78% | 1398400000 preimage entries parsed...
2026-06-22T12:19:47.838428Z  INFO 79% | 1405000000 preimage entries parsed...
2026-06-22T12:19:52.964684Z  INFO 79% | 1411600000 preimage entries parsed...
2026-06-22T12:19:58.140399Z  INFO 80% | 1418600000 preimage entries parsed...
2026-06-22T12:20:03.265487Z  INFO 80% | 1425200000 preimage entries parsed...
2026-06-22T12:20:08.315003Z  INFO 80% | 1431200000 preimage entries parsed...
2026-06-22T12:20:13.403519Z  INFO 81% | 1437400000 preimage entries parsed...
2026-06-22T12:20:18.503518Z  INFO 81% | 1444600000 preimage entries parsed...
2026-06-22T12:20:23.596516Z  INFO 81% | 1451100000 preimage entries parsed...
2026-06-22T12:20:28.742471Z  INFO 82% | 1457900000 preimage entries parsed...
2026-06-22T12:20:33.804693Z  INFO 82% | 1464400000 preimage entries parsed...
2026-06-22T12:20:38.868528Z  INFO 83% | 1472100000 preimage entries parsed...
2026-06-22T12:20:43.873004Z  INFO 83% | 1479500000 preimage entries parsed...
2026-06-22T12:20:48.914537Z  INFO 83% | 1486400000 preimage entries parsed...
2026-06-22T12:20:53.937718Z  INFO 84% | 1493900000 preimage entries parsed...
2026-06-22T12:20:58.939640Z  INFO 84% | 1500500000 preimage entries parsed...
2026-06-22T12:21:04.046597Z  INFO 85% | 1507000000 preimage entries parsed...
2026-06-22T12:21:09.130642Z  INFO 85% | 1513600000 preimage entries parsed...
2026-06-22T12:21:14.143356Z  INFO 85% | 1519600000 preimage entries parsed...
2026-06-22T12:21:19.166317Z  INFO 86% | 1527400000 preimage entries parsed...
2026-06-22T12:21:24.181043Z  INFO 86% | 1535300000 preimage entries parsed...
2026-06-22T12:21:29.189006Z  INFO 87% | 1543000000 preimage entries parsed...
2026-06-22T12:21:34.239850Z  INFO 87% | 1550800000 preimage entries parsed...
2026-06-22T12:21:39.344258Z  INFO 87% | 1558400000 preimage entries parsed...
2026-06-22T12:21:44.427735Z  INFO 88% | 1564900000 preimage entries parsed...
2026-06-22T12:21:49.501598Z  INFO 88% | 1571000000 preimage entries parsed...
2026-06-22T12:21:54.534788Z  INFO 89% | 1578000000 preimage entries parsed...
2026-06-22T12:21:59.614949Z  INFO 89% | 1585700000 preimage entries parsed...
2026-06-22T12:22:04.663126Z  INFO 89% | 1592700000 preimage entries parsed...
2026-06-22T12:22:09.670048Z  INFO 90% | 1599600000 preimage entries parsed...
2026-06-22T12:22:14.700195Z  INFO 90% | 1606400000 preimage entries parsed...
2026-06-22T12:22:19.725427Z  INFO 91% | 1613700000 preimage entries parsed...
2026-06-22T12:22:24.752745Z  INFO 91% | 1620400000 preimage entries parsed...
2026-06-22T12:22:29.904796Z  INFO 91% | 1626900000 preimage entries parsed...
2026-06-22T12:22:35.013695Z  INFO 92% | 1633700000 preimage entries parsed...
2026-06-22T12:22:40.039067Z  INFO 92% | 1641200000 preimage entries parsed...
2026-06-22T12:22:45.174021Z  INFO 92% | 1648100000 preimage entries parsed...
2026-06-22T12:22:50.251065Z  INFO 93% | 1654900000 preimage entries parsed...
2026-06-22T12:22:55.456956Z  INFO 93% | 1661300000 preimage entries parsed...
2026-06-22T12:23:00.539739Z  INFO 94% | 1668100000 preimage entries parsed...
2026-06-22T12:23:05.547781Z  INFO 94% | 1674800000 preimage entries parsed...
2026-06-22T12:23:10.628239Z  INFO 94% | 1680900000 preimage entries parsed...
2026-06-22T12:23:15.752989Z  INFO 95% | 1688200000 preimage entries parsed...
2026-06-22T12:23:20.818294Z  INFO 95% | 1695300000 preimage entries parsed...
2026-06-22T12:23:25.838053Z  INFO 96% | 1702200000 preimage entries parsed...
2026-06-22T12:23:30.918008Z  INFO 96% | 1707800000 preimage entries parsed...
2026-06-22T12:23:35.975883Z  INFO 96% | 1714100000 preimage entries parsed...
2026-06-22T12:23:41.082825Z  INFO 97% | 1721100000 preimage entries parsed...
2026-06-22T12:23:46.105816Z  INFO 97% | 1728300000 preimage entries parsed...
2026-06-22T12:23:51.136189Z  INFO 97% | 1736200000 preimage entries parsed...
2026-06-22T12:23:56.154876Z  INFO 98% | 1744000000 preimage entries parsed...
2026-06-22T12:24:01.202063Z  INFO 98% | 1751800000 preimage entries parsed...
2026-06-22T12:24:06.220202Z  INFO 99% | 1758800000 preimage entries parsed...
2026-06-22T12:24:11.225256Z  INFO 99% | 1765200000 preimage entries parsed...
2026-06-22T12:24:16.229020Z  INFO 99% | 1772100000 preimage entries parsed...
2026-06-22T12:24:16.584429Z  INFO Parsed 1772541586 entries (416358752 addrs, 1356182834 slots) in 1309.9s
2026-06-22T12:24:16.604632Z  INFO Preimage files mmapped (416358752 addrs = 20647 MB, 1356182834 slots = 82774 MB)
2026-06-22T12:24:16.605303Z  INFO 1772541586 unique preimages loaded
2026-06-22T12:24:16.605347Z  INFO Reading code file: /home/0xalizk/sharded-pir/binary-node/gethdump/mainnet/code.rlp
2026-06-22T12:24:16.605384Z  INFO Code file size: 13518 MB
2026-06-22T12:24:16.640247Z  INFO Skipped gethdbdump header (22 bytes)
2026-06-22T12:26:42.322347Z  INFO Parsed 2444221 code entries in 145.6s
2026-06-22T12:26:42.407886Z  INFO Collect phase: streaming snapshot file: /home/0xalizk/sharded-pir/binary-node/gethdump/mainnet/snapshot-sorted.rlp
2026-06-22T12:26:42.407954Z  INFO Snapshot file size: 143119 MB
2026-06-22T12:26:42.450299Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T12:26:42.771263Z  WARN Skipped account with keccak 0000141a0f9bd584c565a55beb0555a0ae78f7e3a8022ed856083e58febdd420, has_preimage=false
2026-06-22T12:26:42.771549Z  WARN Skipped account with keccak 00001789b1b16c7f8d8c8c8079a15f7a7038b83c1a11c5fbff1d0dffeb9881a8, has_preimage=false
2026-06-22T12:26:42.771599Z  WARN Skipped account with keccak 00001912e635e9947f57ee52e3a70eb186f9ecb18fb2797ee0323ce03b67f6e0, has_preimage=false
2026-06-22T12:26:42.771629Z  WARN Skipped account with keccak 00001aaab4bc46883e9e7876c7ac15800e3e703c99f853fb8ef765c481ef431a, has_preimage=false
2026-06-22T12:26:42.771691Z  WARN Skipped account with keccak 00001dbb47fb099f26c2770c270be2bae750ed97eb3dbd86aee999b42ff790ce, has_preimage=false
2026-06-22T12:26:42.771705Z  WARN Skipped account with keccak 00001df85e866094efc5c2df9d08caecb37a3a795970ce627ed935388fb228ca, has_preimage=false
2026-06-22T12:26:42.771727Z  WARN Skipped account with keccak 00001f01c1c5abf36785c14391f2cc032be6a0df20ed1050c22e77e004a34e81, has_preimage=false
2026-06-22T12:26:42.771738Z  WARN Skipped account with keccak 00001f35554fe72dbec92f5d34298cdad79ad3c02974ff2bb4291e902395c205, has_preimage=false
2026-06-22T12:26:42.771833Z  WARN Skipped account with keccak 00002521df04cfd53651a0343596b3e851e23675cf234801a4e1ba36c1603cca, has_preimage=false
2026-06-22T12:26:42.771911Z  WARN Skipped account with keccak 0000296065647d4b83f9eb948ccd7ef212ceb23ae7d55bc773d6d7b1a197efc8, has_preimage=false
2026-06-22T12:26:48.833620Z  INFO 0% (30 MB / 143119 MB) | 589672 accounts, 0 storage | 5 MB/s | ETA 476m57s
2026-06-22T12:26:55.189742Z  INFO 0% (60 MB / 143119 MB) | 1179399 accounts, 0 storage | 5 MB/s | ETA 476m51s
2026-06-22T12:27:03.079563Z  INFO 0% (90 MB / 143119 MB) | 1769101 accounts, 0 storage | 4 MB/s | ETA 595m57s
2026-06-22T12:27:10.005068Z  INFO 0% (121 MB / 143119 MB) | 2358726 accounts, 0 storage | 4 MB/s | ETA 595m49s
2026-06-22T12:27:16.082781Z  INFO 0% (141 MB / 143119 MB) | 2752008 accounts, 0 storage | 4 MB/s | ETA 595m44s
2026-06-22T12:27:21.282234Z  INFO 0% (151 MB / 143119 MB) | 2948607 accounts, 0 storage | 3 MB/s | ETA 794m16s
2026-06-22T12:27:28.034013Z  INFO 0% (181 MB / 143119 MB) | 3538397 accounts, 0 storage | 4 MB/s | ETA 595m34s
2026-06-22T12:27:36.173707Z  INFO 0% (212 MB / 143119 MB) | 4128137 accounts, 0 storage | 4 MB/s | ETA 595m26s
2026-06-22T12:27:41.885798Z  INFO 0% (232 MB / 143119 MB) | 4521417 accounts, 0 storage | 3 MB/s | ETA 793m49s
2026-06-22T12:27:52.561121Z  INFO 0% (252 MB / 143119 MB) | 4914683 accounts, 0 storage | 3 MB/s | ETA 793m42s
2026-06-22T12:27:58.293868Z  INFO 0% (272 MB / 143119 MB) | 5307780 accounts, 0 storage | 3 MB/s | ETA 793m35s
2026-06-22T12:28:06.511249Z  INFO 0% (303 MB / 143119 MB) | 5897409 accounts, 0 storage | 3 MB/s | ETA 793m25s
2026-06-22T12:28:22.481695Z  INFO 0% (323 MB / 143119 MB) | 6290523 accounts, 0 storage | 3 MB/s | ETA 793m18s
2026-06-22T12:28:28.988666Z  INFO 0% (343 MB / 143119 MB) | 6683628 accounts, 0 storage | 3 MB/s | ETA 793m12s
2026-06-22T12:28:34.453837Z  INFO 0% (363 MB / 143119 MB) | 7076753 accounts, 0 storage | 3 MB/s | ETA 793m5s
2026-06-22T12:28:42.504178Z  INFO 0% (373 MB / 143119 MB) | 7273403 accounts, 0 storage | 3 MB/s | ETA 793m1s
2026-06-22T12:28:52.152481Z  INFO 0% (404 MB / 143119 MB) | 7863338 accounts, 0 storage | 3 MB/s | ETA 792m51s
2026-06-22T12:28:57.305890Z  INFO 0% (424 MB / 143119 MB) | 8256358 accounts, 0 storage | 3 MB/s | ETA 792m45s
2026-06-22T12:29:02.471749Z  INFO 0% (444 MB / 143119 MB) | 8649439 accounts, 0 storage | 3 MB/s | ETA 792m38s
2026-06-22T12:29:10.254618Z  INFO 0% (464 MB / 143119 MB) | 9042602 accounts, 0 storage | 3 MB/s | ETA 792m31s
2026-06-22T12:29:16.196091Z  INFO 0% (485 MB / 143119 MB) | 9435808 accounts, 0 storage | 3 MB/s | ETA 792m24s
2026-06-22T12:29:23.361245Z  INFO 0% (505 MB / 143119 MB) | 9829086 accounts, 0 storage | 3 MB/s | ETA 792m18s
2026-06-22T12:29:29.345399Z  INFO 0% (525 MB / 143119 MB) | 10222220 accounts, 0 storage | 3 MB/s | ETA 792m11s
2026-06-22T12:29:37.506206Z  INFO 0% (545 MB / 143119 MB) | 10615423 accounts, 0 storage | 3 MB/s | ETA 792m4s
2026-06-22T12:29:44.309306Z  INFO 0% (565 MB / 143119 MB) | 11008607 accounts, 0 storage | 3 MB/s | ETA 791m57s
