2026-06-22T00:31:04.016495Z  INFO Storing genesis block hash=0xd4e5…8fa3
2026-06-22T00:31:04.024825Z  INFO Auto-tune: available RAM 34 GB, headroom 9 GB, usable 25 GB, preimage estimate 116 GB -> mmap mode, flush every 1000000
2026-06-22T00:31:04.025071Z  INFO Reading preimage file: xatu-preimages/preimages.rlp (mode: mmap)
2026-06-22T00:31:04.025120Z  INFO Preimage file size: 108493 MB
2026-06-22T00:31:04.056139Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T00:31:09.166154Z  INFO 0% | 7900000 preimage entries parsed...
2026-06-22T00:31:14.181766Z  INFO 0% | 15800000 preimage entries parsed...
2026-06-22T00:31:19.264810Z  INFO 1% | 23700000 preimage entries parsed...
2026-06-22T00:31:24.280988Z  INFO 1% | 31500000 preimage entries parsed...
2026-06-22T00:31:29.366289Z  INFO 2% | 39400000 preimage entries parsed...
2026-06-22T00:31:34.412594Z  INFO 2% | 46200000 preimage entries parsed...
2026-06-22T00:31:39.421908Z  INFO 3% | 53900000 preimage entries parsed...
2026-06-22T00:31:44.493384Z  INFO 3% | 61700000 preimage entries parsed...
2026-06-22T00:31:49.508778Z  INFO 3% | 69600000 preimage entries parsed...
2026-06-22T00:31:54.611050Z  INFO 4% | 77300000 preimage entries parsed...
2026-06-22T00:31:59.624339Z  INFO 4% | 84200000 preimage entries parsed...
2026-06-22T00:32:04.754886Z  INFO 5% | 91800000 preimage entries parsed...
2026-06-22T00:32:09.823021Z  INFO 5% | 98900000 preimage entries parsed...
2026-06-22T00:32:14.887363Z  INFO 6% | 106400000 preimage entries parsed...
2026-06-22T00:32:19.913418Z  INFO 6% | 113800000 preimage entries parsed...
2026-06-22T00:32:24.915712Z  INFO 6% | 121500000 preimage entries parsed...
2026-06-22T00:32:29.964952Z  INFO 7% | 128500000 preimage entries parsed...
2026-06-22T00:32:35.039818Z  INFO 7% | 136200000 preimage entries parsed...
2026-06-22T00:32:40.048414Z  INFO 8% | 143700000 preimage entries parsed...
2026-06-22T00:32:45.075698Z  INFO 8% | 150600000 preimage entries parsed...
2026-06-22T00:32:50.136971Z  INFO 8% | 158300000 preimage entries parsed...
2026-06-22T00:32:55.161925Z  INFO 9% | 166000000 preimage entries parsed...
2026-06-22T00:33:00.236093Z  INFO 9% | 173500000 preimage entries parsed...
2026-06-22T00:33:05.299866Z  INFO 10% | 180900000 preimage entries parsed...
2026-06-22T00:33:10.348720Z  INFO 10% | 188300000 preimage entries parsed...
2026-06-22T00:33:15.371648Z  INFO 11% | 195600000 preimage entries parsed...
2026-06-22T00:33:20.376962Z  INFO 11% | 202900000 preimage entries parsed...
2026-06-22T00:33:25.434344Z  INFO 11% | 210100000 preimage entries parsed...
2026-06-22T00:33:30.439320Z  INFO 12% | 217300000 preimage entries parsed...
2026-06-22T00:33:35.448955Z  INFO 12% | 224400000 preimage entries parsed...
