2000/101364  ok=2000 skip=0 miss(404/fail)=0  0.1 GB
4000/101364  ok=4000 skip=0 miss(404/fail)=0  0.9 GB
6000/101364  ok=6000 skip=0 miss(404/fail)=0  15.6 GB
8000/101364  ok=8000 skip=0 miss(404/fail)=0  35.0 GB
10000/101364  ok=10000 skip=0 miss(404/fail)=0  57.8 GB
12000/101364  ok=12000 skip=0 miss(404/fail)=0  98.6 GB
14000/101364  ok=14000 skip=0 miss(404/fail)=0  150.9 GB
16000/101364  ok=16000 skip=0 miss(404/fail)=0  199.5 GB
18000/101364  ok=17999 skip=0 miss(404/fail)=1  244.9 GB
20000/101364  ok=19999 skip=0 miss(404/fail)=1  291.4 GB
22000/101364  ok=21999 skip=0 miss(404/fail)=1  343.3 GB
24000/101364  ok=23998 skip=0 miss(404/fail)=2  392.0 GB
26000/101364  ok=25998 skip=0 miss(404/fail)=2  447.1 GB
28000/101364  ok=27998 skip=0 miss(404/fail)=2  448.5 GB
30000/101364  ok=29998 skip=0 miss(404/fail)=2  456.7 GB
32000/101364  ok=31998 skip=0 miss(404/fail)=2  482.3 GB
34000/101364  ok=33997 skip=0 miss(404/fail)=3  503.8 GB
36000/101364  ok=35996 skip=0 miss(404/fail)=4  529.2 GB
38000/101364  ok=37996 skip=0 miss(404/fail)=4  568.6 GB
40000/101364  ok=39996 skip=0 miss(404/fail)=4  609.1 GB
42000/101364  ok=41996 skip=0 miss(404/fail)=4  644.5 GB
44000/101364  ok=43996 skip=0 miss(404/fail)=4  676.2 GB
46000/101364  ok=45996 skip=0 miss(404/fail)=4  711.1 GB
48000/101364  ok=47996 skip=0 miss(404/fail)=4  748.7 GB
50000/101364  ok=49995 skip=0 miss(404/fail)=5  790.4 GB
52000/101364  ok=51995 skip=0 miss(404/fail)=5  814.1 GB
54000/101364  ok=53995 skip=0 miss(404/fail)=5  814.9 GB
56000/101364  ok=55995 skip=0 miss(404/fail)=5  823.8 GB
58000/101364  ok=57995 skip=0 miss(404/fail)=5  835.1 GB
60000/101364  ok=59995 skip=0 miss(404/fail)=5  846.8 GB
62000/101364  ok=61995 skip=0 miss(404/fail)=5  862.7 GB
64000/101364  ok=63995 skip=0 miss(404/fail)=5  884.0 GB
66000/101364  ok=65995 skip=0 miss(404/fail)=5  904.5 GB
68000/101364  ok=67995 skip=0 miss(404/fail)=5  921.3 GB
70000/101364  ok=69995 skip=0 miss(404/fail)=5  937.7 GB
72000/101364  ok=71995 skip=0 miss(404/fail)=5  955.6 GB
74000/101364  ok=73995 skip=0 miss(404/fail)=5  975.8 GB
76000/101364  ok=75994 skip=0 miss(404/fail)=6  1002.8 GB
78000/101364  ok=77994 skip=0 miss(404/fail)=6  1003.3 GB
80000/101364  ok=79994 skip=0 miss(404/fail)=6  1003.4 GB
82000/101364  ok=81994 skip=0 miss(404/fail)=6  1004.1 GB
84000/101364  ok=83994 skip=0 miss(404/fail)=6  1005.0 GB
86000/101364  ok=85994 skip=0 miss(404/fail)=6  1005.9 GB
88000/101364  ok=87994 skip=0 miss(404/fail)=6  1007.2 GB
90000/101364  ok=89994 skip=0 miss(404/fail)=6  1008.8 GB
92000/101364  ok=91994 skip=0 miss(404/fail)=6  1011.0 GB
94000/101364  ok=93994 skip=0 miss(404/fail)=6  1013.3 GB
96000/101364  ok=95994 skip=0 miss(404/fail)=6  1015.0 GB
98000/101364  ok=97994 skip=0 miss(404/fail)=6  1016.8 GB
100000/101364  ok=99994 skip=0 miss(404/fail)=6  1019.8 GB
DONE 101364/101364  ok=101358 skip=0 miss=6  1022.3 GB
